model,error_num,value
MISRRLL,2,0.960715
APMISRR,2,0.910697
TolerMIS,2,0.941917
MISRRLL,2,0.962168
APMISRR,2,0.919206
TolerMIS,2,0.95012
MISRRLL,2,0.975028
APMISRR,2,0.894626
TolerMIS,2,0.926922
MISRRLL,2,0.947348
APMISRR,2,0.937872
TolerMIS,2,0.967068
MISRRLL,2,0.985589
APMISRR,2,0.878435
TolerMIS,2,0.910323
MISRRLL,2,0.926977
APMISRR,2,0.940999
TolerMIS,2,0.970558
MISRRLL,2,0.985254
APMISRR,2,0.881597
TolerMIS,2,0.913573
MISRRLL,2,0.930844
APMISRR,2,0.925779
TolerMIS,2,0.955234
MISRRLL,2,0.979303
APMISRR,2,0.906229
TolerMIS,2,0.936119
MISRRLL,2,0.956511
APMISRR,2,0.930347
TolerMIS,2,0.959421
MISRRLL,2,0.985501
APMISRR,2,0.899292
TolerMIS,2,0.931026
MISRRLL,2,0.951907
APMISRR,2,0.920579
TolerMIS,2,0.951142
MISRRLL,2,0.952049
APMISRR,2,0.920386
TolerMIS,2,0.950855
MISRRLL,2,0.974866
APMISRR,2,0.915673
TolerMIS,2,0.946363
MISRRLL,2,0.966724
APMISRR,2,0.93307
TolerMIS,2,0.962659
MISRRLL,2,0.985009
APMISRR,2,0.916984
TolerMIS,2,0.948277
MISRRLL,2,0.947912
APMISRR,2,0.912942
TolerMIS,2,0.943019
MISRRLL,2,0.964952
APMISRR,2,0.879065
TolerMIS,2,0.910712
MISRRLL,2,0.927205
APMISRR,2,0.92628
TolerMIS,2,0.957142
MISRRLL,2,0.985374
APMISRR,2,0.91438
TolerMIS,2,0.943867
MISRRLL,2,0.965222
APMISRR,2,0.912498
TolerMIS,2,0.943156
MISRRLL,2,0.96521
APMISRR,2,0.904498
TolerMIS,2,0.935591
MISRRLL,2,0.956212
APMISRR,2,0.880815
TolerMIS,2,0.913238
MISRRLL,2,0.931241
APMISRR,2,0.877863
TolerMIS,2,0.910111
MISRRLL,2,0.92755
APMISRR,2,0.9049
TolerMIS,2,0.937378
MISRRLL,2,0.96007
APMISRR,2,0.928737
TolerMIS,2,0.958725
MISRRLL,2,0.985474
APMISRR,3,0.867266
TolerMIS,3,0.901603
MISRRLL,3,0.925425
APMISRR,3,0.904684
TolerMIS,3,0.936172
MISRRLL,3,0.964863
APMISRR,3,0.909423
TolerMIS,3,0.94097
MISRRLL,3,0.969851
APMISRR,3,0.885473
TolerMIS,3,0.918345
MISRRLL,3,0.94436
APMISRR,3,0.893987
TolerMIS,3,0.924747
MISRRLL,3,0.950416
APMISRR,3,0.905941
TolerMIS,3,0.936615
MISRRLL,3,0.964488
APMISRR,3,0.868309
TolerMIS,3,0.902093
MISRRLL,3,0.925153
APMISRR,3,0.933091
TolerMIS,3,0.961295
MISRRLL,3,0.979567
APMISRR,3,0.847902
TolerMIS,3,0.877615
MISRRLL,3,0.89596
APMISRR,3,0.937751
TolerMIS,3,0.966498
MISRRLL,3,0.979323
APMISRR,3,0.877841
TolerMIS,3,0.911014
MISRRLL,3,0.905709
APMISRR,3,0.91144
TolerMIS,3,0.942058
MISRRLL,3,0.969989
APMISRR,3,0.881074
TolerMIS,3,0.913731
MISRRLL,3,0.937845
APMISRR,3,0.918874
TolerMIS,3,0.948396
MISRRLL,3,0.979385
APMISRR,3,0.875063
TolerMIS,3,0.907998
MISRRLL,3,0.931805
APMISRR,3,0.870504
TolerMIS,3,0.902135
MISRRLL,3,0.922612
APMISRR,3,0.905541
TolerMIS,3,0.936441
MISRRLL,3,0.964368
APMISRR,3,0.899661
TolerMIS,3,0.930942
MISRRLL,3,0.957638
APMISRR,3,0.924315
TolerMIS,3,0.954149
MISRRLL,3,0.979276
APMISRR,3,0.860792
TolerMIS,3,0.895814
MISRRLL,3,0.919365
APMISRR,3,0.892331
TolerMIS,3,0.924507
MISRRLL,3,0.950411
APMISRR,3,0.840227
TolerMIS,3,0.875806
MISRRLL,3,0.895762
APMISRR,3,0.918927
TolerMIS,3,0.948599
MISRRLL,3,0.979295
APMISRR,3,0.893511
TolerMIS,3,0.925132
MISRRLL,3,0.950558
APMISRR,3,0.893481
TolerMIS,3,0.925159
MISRRLL,3,0.95079
APMISRR,3,0.878012
TolerMIS,3,0.911815
MISRRLL,3,0.934428
APMISRR,3,0.845039
TolerMIS,3,0.8806
MISRRLL,3,0.901532
APMISRR,3,0.841044
TolerMIS,3,0.876302
MISRRLL,3,0.895661
APMISRR,3,0.888226
TolerMIS,3,0.919926
MISRRLL,3,0.944437
APMISRR,3,0.915167
TolerMIS,3,0.946766
MISRRLL,3,0.97885
APMISRR,4,0.83746
TolerMIS,4,0.875447
MISRRLL,4,0.902552
APMISRR,4,0.887905
TolerMIS,4,0.920897
MISRRLL,4,0.953865
APMISRR,4,0.895095
TolerMIS,4,0.927877
MISRRLL,4,0.96339
APMISRR,4,0.864854
TolerMIS,4,0.897986
MISRRLL,4,0.926831
APMISRR,4,0.872959
TolerMIS,4,0.906418
MISRRLL,4,0.935511
APMISRR,4,0.892371
TolerMIS,4,0.922528
MISRRLL,4,0.953676
APMISRR,4,0.847626
TolerMIS,4,0.87852
MISRRLL,4,0.902926
APMISRR,4,0.931216
TolerMIS,4,0.95997
MISRRLL,4,0.977391
APMISRR,4,0.800825
TolerMIS,4,0.841669
MISRRLL,4,0.861217
APMISRR,4,0.938175
TolerMIS,4,0.9665
MISRRLL,4,0.97729
APMISRR,4,0.814594
TolerMIS,4,0.850175
MISRRLL,4,0.871315
APMISRR,4,0.897781
TolerMIS,4,0.928658
MISRRLL,4,0.963502
APMISRR,4,0.856439
TolerMIS,4,0.891542
MISRRLL,4,0.918607
APMISRR,4,0.907616
TolerMIS,4,0.937971
MISRRLL,4,0.97348
APMISRR,4,0.843826
TolerMIS,4,0.881696
MISRRLL,4,0.909957
APMISRR,4,0.837867
TolerMIS,4,0.875621
MISRRLL,4,0.902262
APMISRR,4,0.889973
TolerMIS,4,0.921839
MISRRLL,4,0.953495
APMISRR,4,0.883805
TolerMIS,4,0.914586
MISRRLL,4,0.944338
APMISRR,4,0.916691
TolerMIS,4,0.946101
MISRRLL,4,0.973216
APMISRR,4,0.829934
TolerMIS,4,0.868415
MISRRLL,4,0.89145
APMISRR,4,0.872632
TolerMIS,4,0.905182
MISRRLL,4,0.9352
APMISRR,4,0.803156
TolerMIS,4,0.843139
MISRRLL,4,0.864273
APMISRR,4,0.907087
TolerMIS,4,0.937194
MISRRLL,4,0.972812
APMISRR,4,0.874206
TolerMIS,4,0.906177
MISRRLL,4,0.935961
APMISRR,4,0.869537
TolerMIS,4,0.90467
MISRRLL,4,0.933095
APMISRR,4,0.854448
TolerMIS,4,0.890455
MISRRLL,4,0.918681
APMISRR,4,0.810302
TolerMIS,4,0.849687
MISRRLL,4,0.871546
APMISRR,4,0.80742
TolerMIS,4,0.843652
MISRRLL,4,0.864532
APMISRR,4,0.883393
TolerMIS,4,0.916712
MISRRLL,4,0.928502
APMISRR,4,0.903689
TolerMIS,4,0.935695
MISRRLL,4,0.972544
