model,workload,value
TolerMIS,5000,7898.26
SIS,5000,10086.3
APMISRR,5000,8279
TolerMIS,5000,8045.25
SIS,5000,9963.46
APMISRR,5000,8628.94
TolerMIS,5000,8373.83
SIS,5000,9914
APMISRR,5000,8656.25
TolerMIS,5000,8400.33
SIS,5000,10012.4
APMISRR,5000,8175.99
TolerMIS,5000,7875.5
SIS,5000,10197.6
APMISRR,5000,7879.04
TolerMIS,5000,7672.76
SIS,6000,12080.4
APMISRR,6000,10320.1
TolerMIS,6000,10068
SIS,6000,12041.9
APMISRR,6000,9687.04
TolerMIS,6000,9458.07
SIS,6000,12235.9
APMISRR,6000,9339.13
TolerMIS,6000,9100.43
SIS,6000,12010.1
APMISRR,6000,9303.27
TolerMIS,6000,9088.59
SIS,6000,11914.2
APMISRR,6000,9866.2
TolerMIS,6000,9626.48
SIS,6000,11816.7
APMISRR,6000,9614.2
TolerMIS,6000,9383.81
SIS,6000,11792.5
APMISRR,6000,9323.24
TolerMIS,6000,9109.22
SIS,6000,11917.1
APMISRR,6000,10379.7
TolerMIS,6000,10066.9
SIS,6000,12052.2
APMISRR,6000,10379.5
TolerMIS,6000,10044
SIS,6000,11939.6
APMISRR,6000,9142.92
TolerMIS,6000,8914.71
SIS,6000,11835.8
APMISRR,6000,9409.29
TolerMIS,6000,9189.82
SIS,6000,12147.2
APMISRR,6000,10270.3
TolerMIS,6000,9948.96
SIS,6000,11901.2
APMISRR,6000,10366
TolerMIS,6000,10102.5
SIS,6000,11929.4
APMISRR,6000,9430.47
TolerMIS,6000,9211.7
SIS,6000,12158.1
APMISRR,6000,10053.4
TolerMIS,6000,9810.2
SIS,6000,12057.4
APMISRR,6000,9999.83
TolerMIS,6000,9757.45
SIS,6000,11884.6
APMISRR,6000,10209.6
TolerMIS,6000,9952.04
SIS,6000,11832
APMISRR,6000,9480.72
TolerMIS,6000,9257.52
SIS,6000,11894.9
APMISRR,6000,9568.78
TolerMIS,6000,9342.18
SIS,6000,12118.1
APMISRR,6000,9944.17
TolerMIS,6000,9646.19
SIS,6000,12050.9
APMISRR,6000,9468.6
TolerMIS,6000,9247.66
SIS,6000,11904.3
APMISRR,6000,9785.28
TolerMIS,6000,9551.2
SIS,6000,11991.9
APMISRR,6000,9600.29
TolerMIS,6000,9370.73
SIS,6000,11992.4
APMISRR,6000,9517.33
TolerMIS,6000,9297.24
SIS,6000,12184.3
APMISRR,6000,9653.05
TolerMIS,6000,9379.35
SIS,6000,12045.2
APMISRR,6000,10155.4
TolerMIS,6000,9908.1
SIS,6000,11898.2
APMISRR,6000,9860.62
TolerMIS,6000,9620.05
SIS,6000,11839.8
APMISRR,6000,9828.55
TolerMIS,6000,9590.16
SIS,6000,11957.3
APMISRR,6000,9437.04
TolerMIS,6000,9156.5
SIS,6000,12177.4
APMISRR,6000,10216.3
TolerMIS,6000,9969.81
SIS,7000,14045.3
APMISRR,7000,10766
TolerMIS,7000,10560.2
SIS,7000,14000.5
APMISRR,7000,11323.5
TolerMIS,7000,11090.3
SIS,7000,14226.6
APMISRR,7000,10530.6
TolerMIS,7000,10314.7
SIS,7000,13962.8
APMISRR,7000,10833.7
TolerMIS,7000,10617.7
SIS,7000,13851.4
APMISRR,7000,11661.6
TolerMIS,7000,11409.6
SIS,7000,13737.6
APMISRR,7000,11010.8
TolerMIS,7000,10785.3
SIS,7000,13710.6
APMISRR,7000,10703.2
TolerMIS,7000,10494.1
SIS,7000,13855.5
APMISRR,7000,10654.5
TolerMIS,7000,10429.4
SIS,7000,14013
APMISRR,7000,12060.9
TolerMIS,7000,11708.8
SIS,7000,13881.2
APMISRR,7000,10506
TolerMIS,7000,10290.7
SIS,7000,13760
APMISRR,7000,11239.6
TolerMIS,7000,11004.3
SIS,7000,14123.4
APMISRR,7000,12202.2
TolerMIS,7000,11846.2
SIS,7000,13836.3
APMISRR,7000,11499.8
TolerMIS,7000,11254.3
SIS,7000,13869.9
APMISRR,7000,12053.6
TolerMIS,7000,11787.7
SIS,7000,14134.5
APMISRR,7000,10618.5
TolerMIS,7000,10419.9
SIS,7000,14017.8
APMISRR,7000,10763.2
TolerMIS,7000,10555.2
SIS,7000,13816.6
APMISRR,7000,10957.8
TolerMIS,7000,10735.5
SIS,7000,13755.5
APMISRR,7000,11017.3
TolerMIS,7000,10792
SIS,7000,13829.3
APMISRR,7000,10500.8
TolerMIS,7000,10315
SIS,7000,14089.6
APMISRR,7000,10518.2
TolerMIS,7000,10299.1
SIS,7000,14009.9
APMISRR,7000,11257.3
TolerMIS,7000,11025.7
SIS,7000,13841.1
APMISRR,7000,11574.8
TolerMIS,7000,11328.9
SIS,7000,13941.2
APMISRR,7000,11069.4
TolerMIS,7000,10841.5
SIS,7000,13943.5
APMISRR,7000,10902.3
TolerMIS,7000,10687.2
SIS,7000,14166.9
APMISRR,7000,11469
TolerMIS,7000,11168.5
SIS,7000,14004.2
APMISRR,7000,11986.3
TolerMIS,7000,11728.4
SIS,7000,13833
APMISRR,7000,11500.6
TolerMIS,7000,11254.4
SIS,7000,13765.6
APMISRR,7000,11611.4
TolerMIS,7000,11360.6
SIS,7000,13902.2
APMISRR,7000,11764.2
TolerMIS,7000,11385.7
SIS,7000,14157.1
APMISRR,7000,11808.9
TolerMIS,7000,11561.8
SIS,8000,16010.2
APMISRR,8000,13162
TolerMIS,8000,12919.4
SIS,8000,15959.2
APMISRR,8000,12713.3
TolerMIS,8000,12484.9
SIS,8000,16217.3
APMISRR,8000,13702.2
TolerMIS,8000,13348.6
SIS,8000,15915.4
APMISRR,8000,13792.9
TolerMIS,8000,13521.7
SIS,8000,15788.6
APMISRR,8000,13072.1
TolerMIS,8000,12824.8
SIS,8000,15658.6
APMISRR,8000,12082.9
TolerMIS,8000,11876.3
SIS,8000,15628.7
APMISRR,8000,12605.5
TolerMIS,8000,12377.3
SIS,8000,15793.8
APMISRR,8000,12259.6
TolerMIS,8000,12023.2
SIS,8000,15973.7
APMISRR,8000,12545.5
TolerMIS,8000,12269.9
SIS,8000,15822.9
APMISRR,8000,12999.5
TolerMIS,8000,12701.5
SIS,8000,15684.2
APMISRR,8000,13649.1
TolerMIS,8000,13372.7
SIS,8000,16099.6
APMISRR,8000,12838
TolerMIS,8000,12547.5
SIS,8000,15771.5
APMISRR,8000,12177.6
TolerMIS,8000,11967.7
SIS,8000,15810.4
APMISRR,8000,12342.9
TolerMIS,8000,12127.4
SIS,8000,16110.9
APMISRR,8000,13036.2
TolerMIS,8000,12797
SIS,8000,15978.3
APMISRR,8000,12124.7
TolerMIS,8000,11924.3
SIS,8000,15748.6
APMISRR,8000,12733.3
TolerMIS,8000,12498.7
SIS,8000,15678.9
APMISRR,8000,12477
TolerMIS,8000,12253.1
SIS,8000,15763.6
APMISRR,8000,12577.3
TolerMIS,8000,12350.2
SIS,8000,16061.1
APMISRR,8000,12215.5
TolerMIS,8000,11966.5
SIS,8000,15968.9
APMISRR,8000,12212.1
TolerMIS,8000,12001.1
SIS,8000,15777.9
APMISRR,8000,12819.9
TolerMIS,8000,12585.2
SIS,8000,15890.4
APMISRR,8000,11949.6
TolerMIS,8000,11745.9
SIS,8000,15894.5
APMISRR,8000,13191.5
TolerMIS,8000,12946.1
SIS,8000,16149.4
APMISRR,8000,13671.5
TolerMIS,8000,13317.1
SIS,8000,15963.2
APMISRR,8000,12035.4
TolerMIS,8000,11838.4
SIS,8000,15767.8
APMISRR,8000,12499.6
TolerMIS,8000,12275.6
SIS,8000,15691.4
APMISRR,8000,12552.1
TolerMIS,8000,12326.5
SIS,8000,15847.1
APMISRR,8000,12184.6
TolerMIS,8000,11917
SIS,8000,16136.8
APMISRR,8000,13753.1
TolerMIS,8000,13494.5
SIS,9000,17975.1
APMISRR,9000,15164.8
TolerMIS,9000,14906.8
SIS,9000,17917.8
APMISRR,9000,15130.4
TolerMIS,9000,14871.1
SIS,9000,18208.1
APMISRR,9000,15677.5
TolerMIS,9000,15287.7
SIS,9000,17868.1
APMISRR,9000,13749.6
TolerMIS,9000,13537
SIS,9000,17725.8
APMISRR,9000,15127.8
TolerMIS,9000,14858
SIS,9000,17579.6
APMISRR,9000,13700
TolerMIS,9000,13487.8
SIS,9000,17546.9
APMISRR,9000,14840.1
TolerMIS,9000,14579.4
SIS,9000,17732.2
APMISRR,9000,14869.8
TolerMIS,9000,14552.2
SIS,9000,17934.4
APMISRR,9000,14124.8
TolerMIS,9000,13838.8
SIS,9000,17764.6
APMISRR,9000,14787.2
TolerMIS,9000,14465.5
SIS,9000,17608.4
APMISRR,9000,14887.4
TolerMIS,9000,14623.5
SIS,9000,18075.8
APMISRR,9000,14157.7
TolerMIS,9000,13878.4
SIS,9000,17706.7
APMISRR,9000,13896.1
TolerMIS,9000,13677
SIS,9000,17750.8
APMISRR,9000,13373.6
TolerMIS,9000,13194.9
SIS,9000,18087.3
APMISRR,9000,15619.8
TolerMIS,9000,15348.3
SIS,9000,17938.8
APMISRR,9000,14590.8
TolerMIS,9000,14349
SIS,9000,17680.7
APMISRR,9000,14493.9
TolerMIS,9000,14248.5
SIS,9000,17602.4
APMISRR,9000,15142.3
TolerMIS,9000,14865.7
SIS,9000,17697.9
APMISRR,9000,15195.1
TolerMIS,9000,14921.6
SIS,9000,18032.5
APMISRR,9000,13959.4
TolerMIS,9000,13687.8
SIS,9000,17927.8
APMISRR,9000,15159.2
TolerMIS,9000,14896.8
SIS,9000,17714.6
APMISRR,9000,15377.7
TolerMIS,9000,15100.6
SIS,9000,17839.6
APMISRR,9000,13657.3
TolerMIS,9000,13445.6
SIS,9000,17845.6
APMISRR,9000,14189.6
TolerMIS,9000,13964.2
SIS,9000,18131.9
APMISRR,9000,13983.5
TolerMIS,9000,13711.4
SIS,9000,17922.2
APMISRR,9000,14871.2
TolerMIS,9000,14620.8
SIS,9000,17702.5
APMISRR,9000,15118.1
TolerMIS,9000,14846.9
SIS,9000,17617.2
APMISRR,9000,13870.6
TolerMIS,9000,13652.9
SIS,9000,17792
APMISRR,9000,13463.7
TolerMIS,9000,13211.8
SIS,9000,18116.6
APMISRR,9000,15047.7
TolerMIS,9000,14797.4
SIS,10000,19940
APMISRR,10000,16362
TolerMIS,10000,16115.3
SIS,10000,19876.5
APMISRR,10000,16237.1
TolerMIS,10000,15992.2
SIS,10000,20198.8
APMISRR,10000,16058.9
TolerMIS,10000,15744.8
SIS,10000,19820.8
APMISRR,10000,16592.7
TolerMIS,10000,16331.7
SIS,10000,19663
APMISRR,10000,16522
TolerMIS,10000,16257.3
SIS,10000,19500.5
APMISRR,10000,15572.5
TolerMIS,10000,15342.7
SIS,10000,19465
APMISRR,10000,15551.5
TolerMIS,10000,15324.9
SIS,10000,19670.6
APMISRR,10000,15438.2
TolerMIS,10000,15182.5
SIS,10000,19895.1
APMISRR,10000,16055.1
TolerMIS,10000,15732.6
SIS,10000,19706.3
APMISRR,10000,16261.2
TolerMIS,10000,15938.8
SIS,10000,19532.6
APMISRR,10000,15058
TolerMIS,10000,14851.5
SIS,10000,20051.9
APMISRR,10000,17283
TolerMIS,10000,16878.5
SIS,10000,19641.9
APMISRR,10000,15074.1
TolerMIS,10000,14867.2
SIS,10000,19691.3
APMISRR,10000,14986.4
TolerMIS,10000,14783.9
SIS,10000,20063.6
APMISRR,10000,15731.7
TolerMIS,10000,15504
SIS,10000,19899.2
APMISRR,10000,15394.3
TolerMIS,10000,15176.4
SIS,10000,19612.7
APMISRR,10000,16225.5
TolerMIS,10000,15970.5
SIS,10000,19525.9
APMISRR,10000,15581.8
TolerMIS,10000,15352.3
SIS,10000,19632.2
APMISRR,10000,15340.5
TolerMIS,10000,15122.5
SIS,10000,20004
APMISRR,10000,15798.1
TolerMIS,10000,15497.7
SIS,10000,19886.8
APMISRR,10000,16261
TolerMIS,10000,16013.8
SIS,10000,19651.4
APMISRR,10000,16689.8
TolerMIS,10000,16421.4
SIS,10000,19788.8
APMISRR,10000,15004.5
TolerMIS,10000,14797.4
SIS,10000,19796.7
APMISRR,10000,15831.8
TolerMIS,10000,15601.1
SIS,10000,20114.5
APMISRR,10000,15232.6
TolerMIS,10000,14974.4
SIS,10000,19881.2
APMISRR,10000,15870.2
TolerMIS,10000,15637.9
SIS,10000,19637.3
APMISRR,10000,16782.2
TolerMIS,10000,16505.2
SIS,10000,19543.1
APMISRR,10000,14880.9
TolerMIS,10000,14684.5
SIS,10000,19736.9
APMISRR,10000,14897.9
TolerMIS,10000,14645.3
SIS,10000,20096.3
APMISRR,10000,15734.8
TolerMIS,10000,15512.1
SIS,11000,21904.9
APMISRR,11000,17484.7
TolerMIS,11000,17250.9
SIS,11000,21835.1
APMISRR,11000,16657.4
TolerMIS,11000,16448.7
SIS,11000,22189.6
APMISRR,11000,17462.9
TolerMIS,11000,17152.4
SIS,11000,21773.5
APMISRR,11000,18137.6
TolerMIS,11000,17876.1
SIS,11000,21600.2
APMISRR,11000,17391.6
TolerMIS,11000,17152.6
SIS,11000,21421.5
APMISRR,11000,17421
TolerMIS,11000,17176
SIS,11000,21383.2
APMISRR,11000,17213.5
TolerMIS,11000,16979.7
SIS,11000,21608.9
APMISRR,11000,16334.2
TolerMIS,11000,16116.7
SIS,11000,21855.8
APMISRR,11000,16758.4
TolerMIS,11000,16491.5
SIS,11000,21648
APMISRR,11000,16823
TolerMIS,11000,16562.3
SIS,11000,21456.8
APMISRR,11000,16324.1
TolerMIS,11000,16126.9
SIS,11000,22028.1
APMISRR,11000,16784.6
TolerMIS,11000,16527.6
SIS,11000,21577.1
APMISRR,11000,17002.1
TolerMIS,11000,16777.7
SIS,11000,21631.8
APMISRR,11000,17395.6
TolerMIS,11000,17158.8
SIS,11000,22040
APMISRR,11000,17749.1
TolerMIS,11000,17507.2
SIS,11000,21859.7
APMISRR,11000,18377.1
TolerMIS,11000,18111
SIS,11000,21544.8
APMISRR,11000,16617.1
TolerMIS,11000,16407.3
SIS,11000,21449.3
APMISRR,11000,16602.6
TolerMIS,11000,16393.4
SIS,11000,21566.5
APMISRR,11000,17567.8
TolerMIS,11000,17320.8
SIS,11000,21975.5
APMISRR,11000,17707.9
TolerMIS,11000,17373.7
SIS,11000,21845.8
APMISRR,11000,16463.5
TolerMIS,11000,16261.3
SIS,11000,21588.1
APMISRR,11000,17572.5
TolerMIS,11000,17328.5
SIS,11000,21738.1
APMISRR,11000,18121.6
TolerMIS,11000,17857
SIS,11000,21747.7
APMISRR,11000,16540.7
TolerMIS,11000,16342.4
SIS,11000,22097
APMISRR,11000,18290.8
TolerMIS,11000,17919.5
SIS,11000,21840.2
APMISRR,11000,17775.9
TolerMIS,11000,17530.7
SIS,11000,21572
APMISRR,11000,17575.2
TolerMIS,11000,17327.3
SIS,11000,21468.9
APMISRR,11000,16969.4
TolerMIS,11000,16746.3
SIS,11000,21681.8
APMISRR,11000,18197.2
TolerMIS,11000,17746.8
SIS,11000,22076
APMISRR,11000,17331.9
TolerMIS,11000,17105.8
SIS,12000,23869.8
APMISRR,12000,20060.8
TolerMIS,12000,19794.6
SIS,12000,23793.7
APMISRR,12000,20333.1
TolerMIS,12000,20054.8
SIS,12000,24180.3
APMISRR,12000,20670.6
TolerMIS,12000,20240.5
SIS,12000,23726.1
APMISRR,12000,19360.8
TolerMIS,12000,19109.7
SIS,12000,23537.4
APMISRR,12000,17776.5
TolerMIS,12000,17581.3
SIS,12000,23342.5
APMISRR,12000,17954.5
TolerMIS,12000,17750
SIS,12000,23301.3
APMISRR,12000,19746
TolerMIS,12000,19468.8
SIS,12000,23547.3
APMISRR,12000,19500.8
TolerMIS,12000,19166.5
SIS,12000,23816.5
APMISRR,12000,18433.7
TolerMIS,12000,18149.3
SIS,12000,23589.7
APMISRR,12000,17882.8
TolerMIS,12000,17648.5
SIS,12000,23381
APMISRR,12000,19224.9
TolerMIS,12000,18968.5
SIS,12000,24004.3
APMISRR,12000,20556.2
TolerMIS,12000,20126.5
SIS,12000,23512.3
APMISRR,12000,18578
TolerMIS,12000,18350.4
SIS,12000,23572.2
APMISRR,12000,20414.1
TolerMIS,12000,20121.5
SIS,12000,24016.4
APMISRR,12000,17823.1
TolerMIS,12000,17634.5
SIS,12000,23820.2
APMISRR,12000,18439.4
TolerMIS,12000,18220.7
SIS,12000,23476.8
APMISRR,12000,19660.9
TolerMIS,12000,19388.9
SIS,12000,23372.8
APMISRR,12000,20297.7
TolerMIS,12000,19994.5
SIS,12000,23500.8
APMISRR,12000,18173.8
TolerMIS,12000,17961.8
SIS,12000,23946.9
APMISRR,12000,20420.2
TolerMIS,12000,19994.7
SIS,12000,23804.8
APMISRR,12000,18445.2
TolerMIS,12000,18226.7
SIS,12000,23524.9
APMISRR,12000,20085.6
TolerMIS,12000,19803.3
SIS,12000,23687.3
APMISRR,12000,19864.2
TolerMIS,12000,19591.9
SIS,12000,23698.8
APMISRR,12000,19240.1
TolerMIS,12000,18996
SIS,12000,24079.6
APMISRR,12000,19947.7
TolerMIS,12000,19562.2
SIS,12000,23799.2
APMISRR,12000,19933.5
TolerMIS,12000,19667.5
SIS,12000,23506.8
APMISRR,12000,18477.9
TolerMIS,12000,18253.9
SIS,12000,23394.7
APMISRR,12000,18833.7
TolerMIS,12000,18595.4
SIS,12000,23626.7
APMISRR,12000,18809.5
TolerMIS,12000,18445.2
SIS,12000,24055.8
APMISRR,12000,20047
TolerMIS,12000,19787.7
SIS,13000,25834.7
APMISRR,13000,20820
TolerMIS,13000,20577.4
SIS,13000,25752.4
APMISRR,13000,21783
TolerMIS,13000,21507.5
SIS,13000,26171
APMISRR,13000,19742.1
TolerMIS,13000,19480.5
SIS,13000,25678.8
APMISRR,13000,19780.3
TolerMIS,13000,19566.2
SIS,13000,25474.6
APMISRR,13000,21862.3
TolerMIS,13000,21566.5
SIS,13000,25263.4
APMISRR,13000,19300.5
TolerMIS,13000,19101.6
SIS,13000,25219.4
APMISRR,13000,19387.4
TolerMIS,13000,19186.8
SIS,13000,25485.7
APMISRR,13000,21021.8
TolerMIS,13000,20683.2
SIS,13000,25777.2
APMISRR,13000,19903.6
TolerMIS,13000,19616.9
SIS,13000,25531.4
APMISRR,13000,21133.7
TolerMIS,13000,20776
SIS,13000,25305.1
APMISRR,13000,21039.2
TolerMIS,13000,20769.7
SIS,13000,25980.5
APMISRR,13000,19478.8
TolerMIS,13000,19237.5
SIS,13000,25447.5
APMISRR,13000,19529
TolerMIS,13000,19322.3
SIS,13000,25512.7
APMISRR,13000,20703.2
TolerMIS,13000,20455.4
SIS,13000,25992.8
APMISRR,13000,19844
TolerMIS,13000,19629.5
SIS,13000,25780.6
APMISRR,13000,20020.7
TolerMIS,13000,19799.6
SIS,13000,25408.9
APMISRR,13000,20773.1
TolerMIS,13000,20516.6
SIS,13000,25296.3
APMISRR,13000,20121.1
TolerMIS,13000,19888.6
SIS,13000,25435.1
APMISRR,13000,20993.5
TolerMIS,13000,20730.1
SIS,13000,25918.4
APMISRR,13000,21071.4
TolerMIS,13000,20703.5
SIS,13000,25763.8
APMISRR,13000,21261.9
TolerMIS,13000,21000.6
SIS,13000,25461.7
APMISRR,13000,21634.6
TolerMIS,13000,21351
SIS,13000,25636.5
APMISRR,13000,20425.8
TolerMIS,13000,20186.5
SIS,13000,25649.8
APMISRR,13000,20421.7
TolerMIS,13000,20189.1
SIS,13000,26062.1
APMISRR,13000,20196.6
TolerMIS,13000,19894.1
SIS,13000,25758.2
APMISRR,13000,21139
TolerMIS,13000,20883.6
SIS,13000,25441.6
APMISRR,13000,19950
TolerMIS,13000,19726.7
SIS,13000,25320.5
APMISRR,13000,19402.8
TolerMIS,13000,19201.6
SIS,13000,25571.6
APMISRR,13000,21809
TolerMIS,13000,21280.7
SIS,13000,26035.5
APMISRR,13000,21360.7
TolerMIS,13000,21107.8
SIS,14000,27799.6
APMISRR,14000,20786.3
TolerMIS,14000,20597
SIS,14000,27711
APMISRR,14000,22344
TolerMIS,14000,22098.2
SIS,14000,28161.8
APMISRR,14000,22864.4
TolerMIS,14000,22483.2
SIS,14000,27631.5
APMISRR,14000,20993.9
TolerMIS,14000,20788.1
SIS,14000,27411.8
APMISRR,14000,22677.2
TolerMIS,14000,22407.8
SIS,14000,27184.4
APMISRR,14000,20934.6
TolerMIS,14000,20728.1
SIS,14000,27137.6
APMISRR,14000,22729.9
TolerMIS,14000,22453.2
SIS,14000,27424
APMISRR,14000,21501.8
TolerMIS,14000,21228
SIS,14000,27738
APMISRR,14000,21001.4
TolerMIS,14000,20739.7
SIS,14000,27473
APMISRR,14000,22045.7
TolerMIS,14000,21724.9
SIS,14000,27229.3
APMISRR,14000,20733.1
TolerMIS,14000,20535.8
SIS,14000,27956.7
APMISRR,14000,23470.8
TolerMIS,14000,23042.1
SIS,14000,27382.7
APMISRR,14000,22767.8
TolerMIS,14000,22494
SIS,14000,27453.1
APMISRR,14000,22362.8
TolerMIS,14000,22109
SIS,14000,27969.2
APMISRR,14000,23157.8
TolerMIS,14000,22893.8
SIS,14000,27741.1
APMISRR,14000,22807.9
TolerMIS,14000,22546.7
SIS,14000,27340.9
APMISRR,14000,22534.1
TolerMIS,14000,22267.1
SIS,14000,27219.8
APMISRR,14000,21353.2
TolerMIS,14000,21130.4
SIS,14000,27369.4
APMISRR,14000,23076.7
TolerMIS,14000,22791.1
SIS,14000,27889.9
APMISRR,14000,24020.2
TolerMIS,14000,23547
SIS,14000,27722.8
APMISRR,14000,22372.2
TolerMIS,14000,22123.7
SIS,14000,27398.4
APMISRR,14000,23302.4
TolerMIS,14000,23013.2
SIS,14000,27585.8
APMISRR,14000,21319.3
TolerMIS,14000,21099.8
SIS,14000,27600.9
APMISRR,14000,22634.8
TolerMIS,14000,22377.9
SIS,14000,28044.6
APMISRR,14000,23774.3
TolerMIS,14000,23327
SIS,14000,27717.1
APMISRR,14000,20892.3
TolerMIS,14000,20691.8
SIS,14000,27376.3
APMISRR,14000,23731.1
TolerMIS,14000,23419.4
SIS,14000,27246.3
APMISRR,14000,22176.8
TolerMIS,14000,21923.9
SIS,14000,27516.5
APMISRR,14000,20864.9
TolerMIS,14000,20584.4
SIS,14000,28015.2
APMISRR,14000,22106.1
TolerMIS,14000,21873.7
SIS,15000,29764.5
APMISRR,15000,24949.1
TolerMIS,15000,24674.9
SIS,15000,29669.7
APMISRR,15000,22568
TolerMIS,15000,22361
SIS,15000,30152.5
APMISRR,15000,25892
TolerMIS,15000,25407.2
SIS,15000,29584.2
APMISRR,15000,23019
TolerMIS,15000,22795.8
SIS,15000,29349
APMISRR,15000,25306.4
TolerMIS,15000,24995
SIS,15000,29105.3
APMISRR,15000,24611.7
TolerMIS,15000,24316.7
SIS,15000,29055.7
APMISRR,15000,24771.8
TolerMIS,15000,24473.3
SIS,15000,29362.4
APMISRR,15000,23419.4
TolerMIS,15000,23114.7
SIS,15000,29698.7
APMISRR,15000,22451.9
TolerMIS,15000,22189.1
SIS,15000,29414.7
APMISRR,15000,22308.9
TolerMIS,15000,22067
SIS,15000,29153.5
APMISRR,15000,24747.6
TolerMIS,15000,24449.5
SIS,15000,29932.9
APMISRR,15000,23325
TolerMIS,15000,23005.6
SIS,15000,29317.8
APMISRR,15000,24729.9
TolerMIS,15000,24438.9
SIS,15000,29393.6
APMISRR,15000,23420.5
TolerMIS,15000,23182.2
SIS,15000,29945.6
APMISRR,15000,22130.3
TolerMIS,15000,21946
SIS,15000,29701.5
APMISRR,15000,22692.5
TolerMIS,15000,22480.7
SIS,15000,29272.9
APMISRR,15000,23389.1
TolerMIS,15000,23146.4
SIS,15000,29143.2
APMISRR,15000,23782.9
TolerMIS,15000,23521.6
SIS,15000,29303.7
APMISRR,15000,24609.1
TolerMIS,15000,24322.5
SIS,15000,29861.3
APMISRR,15000,23190.6
TolerMIS,15000,22877.8
SIS,15000,29681.8
APMISRR,15000,23758.4
TolerMIS,15000,23513.9
SIS,15000,29335.2
APMISRR,15000,24622.2
TolerMIS,15000,24339.9
SIS,15000,29535
APMISRR,15000,22212.3
TolerMIS,15000,22012.5
SIS,15000,29552
APMISRR,15000,24264.5
TolerMIS,15000,24003.7
SIS,15000,30027.2
APMISRR,15000,22246.9
TolerMIS,15000,22000.8
SIS,15000,29676.1
APMISRR,15000,22455.8
TolerMIS,15000,22253.2
SIS,15000,29311.1
APMISRR,15000,22520.2
TolerMIS,15000,22311.3
SIS,15000,29172.1
APMISRR,15000,23781.2
TolerMIS,15000,23523.9
SIS,15000,29461.4
APMISRR,15000,24578.3
TolerMIS,15000,24061.9
SIS,15000,29995
APMISRR,15000,22131.7
TolerMIS,15000,21956.1
